IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP 
126,0,4180.13,4475.77,4167.82,4196.92,4175.64,4167.44,4165.51,4146.28,4138.33,4132.69,4144.49,4136.67,4198.21,4153.46,0,14201,1780,0,12.3997,
127,0,4181.54,4476.67,4168.21,4200.77,4176.54,4168.21,4166.92,4150.9,4138.72,4132.69,4143.33,4136.67,4198.33,4152.44,0,8202,8165,0,12.4036,
128,0,4184.23,4478.85,4171.03,4203.33,4180.64,4170,4170,4156.41,4142.44,4135.13,4143.21,4138.59,4200.13,4152.82,2376,8202,8165,0,12.4076,
129,0,4184.49,4479.74,4174.36,4202.05,4184.74,4171.92,4172.82,4159.1,4146.41,4137.44,4142.95,4140.26,4199.1,4153.97,3562,8193,8167,0,12.4115,
130,0,4180.51,4476.79,4175.13,4196.41,4185.51,4172.44,4173.59,4157.82,4147.18,4137.95,4141.67,4140.13,4193.46,4154.62,3511,8193,8167,0,12.4154,
131,0,4173.46,4470.38,4171.79,4188.85,4182.31,4171.15,4171.79,4154.74,4144.49,4136.54,4138.97,4137.95,4186.28,4153.59,3537,8197,8159,0,12.4194,
132,0,4167.31,4464.1,4166.92,4183.21,4177.05,4168.85,4168.33,4152.18,4141.54,4134.36,4135.64,4135.38,4182.44,4151.15,3494,8197,8159,0,12.4233,
133,0,4166.67,4461.79,4164.36,4182.82,4173.33,4167.05,4164.74,4151.67,4141.67,4133.46,4134.1,4134.23,4185,4149.62,3530,8188,8169,0,12.4273,
134,0,4173.21,4465.26,4166.54,4187.95,4173.85,4166.28,4162.05,4152.69,4145.9,4135,4136.03,4134.49,4192.31,4151.28,3430,8188,8169,0,12.4312,
135,0,4184.1,4472.95,4171.79,4196.41,4179.1,4166.67,4160.77,4154.49,4152.05,4138.97,4141.67,4135.77,4200.38,4156.54,2721,8185,8180,0,12.4351,
136,0,4194.23,4481.15,4176.54,4204.87,4186.79,4168.08,4160.64,4156.28,4156.15,4144.23,4148.85,4137.56,4205,4163.85,3422,8185,8180,0,12.4391,
137,0,4199.23,4485.51,4178.72,4209.62,4192.69,4170.13,4160.51,4157.44,4156.03,4149.1,4154.36,4140.26,4205.13,4170.26,3607,8185,8173,0,12.443,
138,0,4197.82,4483.46,4178.33,4209.36,4193.97,4172.05,4159.74,4157.82,4153.59,4152.31,4156.28,4143.85,4202.69,4173.21,3339,8185,8173,0,12.447,
139,0,4192.18,4476.15,4176.67,4205,4191.15,4172.31,4157.82,4157.31,4151.79,4153.72,4155.13,4147.44,4200.64,4172.31,3525,8179,8174,0,12.4509,
140,0,4186.15,4467.56,4175.26,4200,4186.92,4170.13,4155.38,4156.92,4152.31,4153.85,4152.95,4149.87,4200,4169.36,3577,8179,8174,0,12.4548,
141,0,4183.21,4461.54,4174.49,4197.56,4183.72,4166.03,4153.72,4157.05,4153.85,4152.95,4151.79,4150.51,4199.74,4167.31,3257,8183,8158,0,12.4588,
142,0,4183.85,4459.49,4175.26,4198.72,4182.18,4162.31,4153.33,4156.92,4153.72,4151.28,4152.05,4149.36,4198.72,4167.56,3339,8183,8158,0,12.4627,
143,0,4186.28,4459.62,4177.44,4201.15,4181.67,4161.15,4153.59,4155.64,4150.26,4148.59,4152.31,4147.05,4196.15,4169.36,3525,8183,8159,0,12.4667,
144,0,4187.56,4458.97,4179.74,4202.05,4181.92,4162.95,4153.72,4152.82,4143.85,4144.74,4151.15,4144.74,4192.31,4170,3577,8183,8159,0,12.4706,
145,0,4185.38,4455.77,4180,4199.87,4183.08,4166.41,4154.1,4150.26,4137.18,4140.38,4147.69,4142.69,4188.08,4167.69,3257,8186,8151,0,12.4745,
146,0,4180.13,4449.36,4177.05,4195.13,4184.87,4169.49,4155.38,4149.62,4133.08,4136.79,4142.95,4141.15,4183.33,4162.31,3339,8186,8151,0,12.4785,
147,0,4173.72,4440.9,4172.82,4189.87,4186.28,4170.64,4157.82,4152.18,4133.59,4135.26,4138.97,4139.62,4178.21,4156.03,3525,8182,8151,0,12.4824,
148,0,4169.1,4431.54,4170.9,4186.15,4185.51,4170.13,4160.51,4156.54,4138.59,4136.28,4137.05,4138.33,4173.46,4151.41,3577,8182,8151,0,12.4864,
149,0,4167.44,4422.82,4172.05,4184.74,4181.79,4168.97,4161.79,4159.74,4145.38,4138.46,4136.92,4137.44,4170,4149.62,3257,8184,8150,0,12.4903,
150,0,4167.95,4415.9,4174.36,4184.74,4177.31,4168.59,4160.64,4159.62,4150.64,4140,4137.18,4137.18,4168.33,4149.74,3339,8184,8150,0,12.4942,
151,0,4168.97,4410.77,4174.49,4185.13,4174.87,4169.62,4157.82,4156.41,4152.44,4139.49,4136.92,4137.18,4167.82,4150.77,3525,8182,8137,0,12.4982,
152,0,4169.36,4407.05,4171.79,4184.87,4176.79,4171.54,4155.38,4153.33,4151.41,4137.69,4136.79,4136.79,4167.44,4151.67,3577,8182,8137,0,12.5021,
153,0,4170.38,4404.36,4168.97,4184.49,4182.18,4172.56,4154.49,4152.69,4149.87,4137.18,4137.44,4136.03,4166.67,4152.31,3257,8189,8143,0,12.5061,
154,0,4173.21,4402.82,4168.72,4185.26,4187.69,4172.18,4154.87,4154.49,4149.87,4139.74,4139.23,4135.26,4166.67,4153.33,3339,8189,8143,0,12.51,
155,0,4177.82,4402.05,4171.28,4187.82,4190.77,4171.28,4155.9,4156.92,4151.54,4144.74,4141.54,4135.26,4167.95,4155,3525,8189,8150,0,12.5139,
156,0,4182.56,4400.9,4174.74,4191.67,4190.64,4171.92,4157.44,4158.46,4153.46,4150.13,4143.46,4136.54,4170,4156.54,3577,8189,8150,0,12.5179,
157,0,4185.51,4398.59,4176.67,4195.26,4188.97,4174.36,4159.87,4159.62,4154.49,4153.46,4144.23,4138.72,4170.9,4156.92,3257,8183,8153,0,12.5218,
158,0,4185.9,4395.26,4176.54,4197.56,4188.46,4176.79,4162.69,4161.15,4154.62,4154.1,4144.23,4140.51,4169.74,4155.77,3339,8183,8153,0,12.5258,
159,0,4184.74,4392.05,4175.13,4198.46,4190.77,4177.69,4164.62,4163.46,4155.77,4153.59,4145.13,4141.15,4167.82,4154.36,3525,8190,8159,0,12.5297,
160,0,4184.23,4390,4173.85,4198.97,4195,4177.05,4164.1,4166.03,4158.85,4154.36,4148.21,4141.67,4167.95,4154.74,3577,8190,8159,0,12.5336,
161,0,4185.51,4388.46,4173.72,4200.13,4199.1,4176.28,4161.41,4167.69,4163.59,4158.08,4153.08,4142.95,4172.31,4158.21,3257,8188,8159,0,12.5376,
162,0,4188.08,4386.15,4174.87,4201.41,4201.03,4176.41,4158.46,4167.31,4168.08,4164.36,4157.95,4145.64,4179.87,4163.59,3339,8188,8159,0,12.5415,
163,0,4190.13,4381.41,4177.31,4201.79,4200.13,4177.05,4157.18,4164.74,4169.62,4170.64,4161.03,4148.59,4186.79,4168.85,3525,8192,8169,0,12.5455,
164,0,4190.13,4373.72,4179.87,4200.64,4196.79,4177.18,4158.33,4160.9,4166.54,4173.33,4161.15,4150.13,4188.72,4171.67,3577,8192,8169,0,12.5494,
165,0,4188.21,4364.36,4180.38,4197.56,4191.67,4175.51,4160.26,4157.31,4160.13,4170.26,4158.97,4149.1,4184.62,4171.15,3257,8192,8180,0,12.5533,
166,0,4185.13,4354.74,4178.33,4193.21,4186.03,4172.69,4160.26,4155.26,4153.33,4161.79,4155.9,4145.64,4177.18,4167.95,3339,8192,8180,0,12.5573,
167,0,4182.44,4346.79,4174.87,4189.1,4182.44,4169.74,4157.69,4154.74,4147.95,4151.67,4152.69,4141.41,4170.38,4164.23,3525,8192,8193,0,12.5612,
168,0,4181.03,4341.79,4173.59,4187.05,4183.21,4167.95,4154.1,4154.74,4144.36,4143.97,4150.38,4138.72,4167.18,4162.05,3577,8192,8193,0,12.5652,
169,0,4181.41,4340.13,4176.03,4188.08,4187.95,4167.82,4152.56,4154.23,4142.18,4141.15,4149.23,4138.59,4167.95,4162.82,3257,8192,8191,0,12.5691,
170,0,4182.95,4340.9,4180.51,4191.41,4192.95,4168.59,4154.87,4153.21,4141.28,4142.95,4149.74,4140.38,4171.28,4165.9,3339,8192,8191,0,12.573,
171,0,4185,4342.18,4183.72,4195.51,4194.62,4169.36,4160,4152.56,4141.79,4147.18,4151.54,4142.05,4175,4169.62,3525,8198,8182,0,12.577,
172,0,4186.67,4342.18,4183.08,4198.33,4192.05,4169.74,4165.77,4152.82,4143.59,4151.54,4153.97,4143.08,4177.82,4172.31,3577,8198,8182,0,12.5809,
173,0,4187.69,4339.74,4180.13,4199.74,4188.08,4170.13,4169.87,4153.46,4145.77,4153.97,4155.77,4143.72,4178.85,4173.21,3257,8205,8189,0,12.5849,
174,0,4187.95,4334.87,4177.69,4199.62,4186.79,4171.15,4171.79,4153.85,4147.05,4154.1,4156.54,4144.49,4177.69,4172.44,3339,8205,8189,0,12.5888,
175,0,4187.69,4328.97,4177.31,4198.59,4189.87,4172.69,4172.31,4154.1,4146.79,4151.92,4156.41,4145.51,4175.26,4170.77,3525,8199,8188,0,12.5927,
176,0,4187.05,4323.59,4178.46,4196.92,4195.38,4173.33,4172.56,4154.62,4145,4148.08,4155.77,4146.67,4172.56,4169.1,3577,8199,8188,0,12.5967,
177,0,4186.67,4319.49,4179.49,4194.87,4199.23,4172.05,4172.69,4155.13,4142.69,4144.23,4155,4147.56,4171.41,4168.59,3257,8204,8180,0,12.6006,
178,0,4186.54,4316.15,4179.87,4192.44,4198.33,4170,4172.69,4155,4141.03,4141.79,4153.85,4147.44,4171.92,4169.74,3339,8204,8180,0,12.6046,
179,0,4186.54,4311.79,4180,4189.74,4193.21,4169.1,4172.56,4153.97,4140.64,4141.67,4152.31,4146.79,4172.31,4171.03,3525,8211,8181,0,12.6085,
180,0,4186.03,4305.9,4180.26,4187.44,4186.92,4170.26,4172.69,4153.08,4141.28,4142.82,4150.9,4146.54,4170.13,4170.38,3577,8211,8181,0,12.6124,
181,0,4185,4299.1,4180.26,4186.15,4182.95,4172.05,4173.59,4153.08,4142.05,4143.46,4150,4148.33,4164.1,4166.92,3257,8213,8169,0,12.6164,
182,0,4184.1,4293.59,4180,4185.77,4182.95,4172.56,4174.49,4154.23,4141.79,4142.69,4150,4151.92,4155.64,4162.31,3339,8213,8169,0,12.6203,
183,0,4183.85,4291.15,4179.87,4185.9,4186.03,4170.9,4174.49,4155.38,4140,4141.15,4150.77,4155,4148.72,4158.72,3525,8213,8158,0,12.6243,
184,0,4184.23,4291.54,4180.13,4186.28,4189.49,4168.46,4172.95,4155.26,4137.44,4140.77,4151.54,4155,4147.18,4158.21,3577,8213,8158,0,12.6282,
185,0,4185.13,4292.95,4180,4187.18,4191.79,4166.79,4171.03,4154.36,4136.28,4143.33,4152.05,4150.77,4152.56,4160.64,3257,8201,8155,0,12.6321,
186,0,4186.67,4293.59,4178.72,4189.1,4193.33,4167.18,4170.26,4154.23,4138.46,4148.72,4152.56,4144.23,4162.05,4164.87,3339,8201,8155,0,12.6361,
187,0,4188.21,4293.21,4176.54,4192.44,4194.87,4169.74,4171.54,4156.28,4143.85,4154.87,4153.33,4138.97,4170.38,4169.1,3525,8203,8154,0,12.64,
188,0,4189.49,4292.44,4175,4196.15,4196.41,4172.95,4174.23,4160.38,4150.13,4158.33,4153.97,4138.08,4173.08,4171.15,3577,8203,8154,0,12.644,
189,0,4190.77,4292.18,4176.15,4199.36,4197.44,4175.13,4175.77,4164.74,4154.49,4157.95,4154.74,4141.03,4169.23,4170,3257,8215,8144,0,12.6479,
190,0,4192.44,4292.18,4178.97,4201.03,4198.08,4175.26,4174.62,4166.67,4155.38,4155.38,4155.38,4145,4161.92,4166.54,3339,8215,8144,0,12.6518,
191,0,4193.85,4291.41,4181.15,4201.15,4199.36,4174.23,4171.28,4164.49,4153.59,4153.46,4155.26,4146.79,4156.03,4162.95,3525,8211,8147,0,12.6558,
192,0,4194.23,4288.72,4180.51,4200.26,4201.15,4173.59,4167.69,4159.36,4151.28,4153.59,4153.97,4145.9,4154.36,4161.03,3577,8211,8147,0,12.6597,
193,1,4193.97,4286.67,4180.51,4200,4201.03,4173.72,4167.82,4159.74,4151.67,4154.23,4154.62,4146.15,4155,4161.28,3577,8211,8147,0,12.6637,
194,1,4193.72,4284.62,4180.51,4199.74,4200.9,4173.85,4167.95,4160.13,4152.05,4154.87,4155.26,4146.41,4155.64,4161.54,3577,8211,8147,0,12.6676,
195,1,4193.46,4282.56,4180.51,4199.49,4200.77,4173.97,4168.08,4160.51,4152.44,4155.51,4155.9,4146.67,4156.28,4161.79,3577,8211,8147,0,12.6715,
196,1,4193.21,4280.51,4180.51,4199.23,4200.64,4174.1,4168.21,4160.9,4152.82,4156.15,4156.54,4146.92,4156.92,4162.05,3577,8211,8147,0,12.6755,
197,1,4192.95,4278.46,4180.51,4198.97,4200.51,4174.23,4168.33,4161.28,4153.21,4156.79,4157.18,4147.18,4157.56,4162.31,3577,8211,8147,0,12.6794,
198,1,4192.69,4276.41,4180.51,4198.72,4200.38,4174.36,4168.46,4161.67,4153.59,4157.44,4157.82,4147.44,4158.21,4162.56,3577,8211,8147,0,12.6834,
