IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP,
33,0,4191.28,4198.46,4183.59,4218.97,4189.74,4173.85,4171.79,4176.92,4221.54,4184.1,4182.05,4197.44,4189.23,4181.03,0,2046,2035,0,11.0706,
34,0,4184.1,4186.67,4174.36,4224.62,4181.03,4168.72,4170.26,4171.28,4227.69,4182.56,4176.41,4204.1,4178.46,4177.95,0,2046,2034,0,11.0785,
35,0,4182.56,4182.05,4174.36,4224.62,4172.31,4171.28,4169.74,4167.18,4230.26,4173.33,4169.23,4207.69,4164.62,4168.72,0,2048,2036,0,11.0864,
36,0,4189.74,4187.69,4184.1,4220.51,4172.82,4175.9,4172.31,4167.69,4231.28,4172.82,4173.33,4206.15,4172.31,4166.67,0,2049,2038,0,11.0943,
37,0,4187.18,4187.69,4173.85,4221.54,4176.41,4169.23,4170.26,4166.15,4228.72,4176.92,4180,4210.26,4184.62,4168.72,0,2048,2036,0,11.1022,
38,0,4173.33,4179.49,4166.15,4225.13,4173.33,4164.62,4163.08,4158.97,4230.26,4170.26,4174.87,4212.31,4178.46,4163.59,0,2050,2037,0,11.11,
62,0,4152.82,4158.46,4156.41,4238.97,4170.26,4165.64,4161.54,4155.9,4238.97,4161.03,4152.31,4218.97,4158.46,4155.38,0,2045,2041,0,11.2991,
63,0,4154.87,4163.59,4155.9,4240.51,4170.77,4161.54,4163.08,4162.56,4233.33,4165.64,4154.36,4219.49,4165.13,4163.08,0,2045,2042,0,11.3069,
64,0,4162.05,4166.15,4163.59,4237.95,4171.28,4160.51,4157.95,4162.56,4231.28,4169.74,4157.95,4215.38,4168.21,4164.1,580,2050,2045,0,11.3148,
65,0,4168.21,4170.77,4167.18,4228.72,4174.36,4168.72,4157.95,4159.49,4230.77,4175.38,4165.64,4212.31,4170.77,4165.13,831,2050,2044,0,11.3227,
66,0,4168.72,4171.79,4167.69,4228.72,4173.33,4172.82,4162.05,4156.92,4227.18,4182.56,4174.36,4209.74,4182.05,4173.85,837,2049,2045,0,11.3306,
